[2017-10-05 00:06:51] A Error Code: 8, Message:Array to string conversion, In Line :32, At File:/data/web/restful/vendor/yoc/validate/DatetimeValidate.php
[2017-10-05 01:45:56] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-05 01:46:17] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-05 01:47:11] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-05 01:47:25] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-05 01:47:44] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-05 01:48:19] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-05 01:48:58] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-05 01:50:29] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-05 01:52:50] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-05 01:54:23] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
[2017-10-05 01:55:13] A Error Code: 2, Message:Declaration of app\components\ActiveController::beforeAction($request) should be compatible with yoc\base\Controller::beforeAction(yoc\http\Request $request), In Line :140, At File:/data/web/restful/app/components/ActiveController.php
