[2017-09-30 09:54:32] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 09:54:32] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 09:54:32] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:32] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 09:54:33] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:33] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:33] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:33] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 09:54:33] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:33] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:33] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:33] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:33] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
